Candidate	Party	Rank	Gender	Norwegian	Ethnicity	Birth Year	Priority	County	Code	Municipality
Raymond Johansen	AP	1	Male	Norsk		1961	YES	Oslo	0301	Oslo
Tone Tellevik Dahl	AP	2	Female	Norsk		1970	YES	Oslo	0301	Oslo
Rina Mariann Hansen	AP	3	Female	Norsk		1977	YES	Oslo	0301	Oslo
Frode Jacobsen	AP	4	Male	Norsk		1968	YES	Oslo	0301	Oslo
Anders Røberg-Larsen	AP	5	Male	Norsk		1978	YES	Oslo	0301	Oslo
Khamshajiny Gunaratnam	AP	6	Female	Non	Indian	1988	YES	Oslo	0301	Oslo
Andreas Halse	AP	7	Male	Norsk		1977	YES	Oslo	0301	Oslo
Victoria Marie Evensen	AP	8	Female	Norsk		1980	YES	Oslo	0301	Oslo
Didrik Beck	AP	9	Male	Norsk		1991	YES	Oslo	0301	Oslo
Julie Lødrup	AP	10	Female	Norsk		1983	YES	Oslo	0301	Oslo
Rune Gerhardsen	AP	11	Male	Norsk		1946	NO	Oslo	0301	Oslo
Turid Birkeland	AP	12	Female	Norsk		1962	NO	Oslo	0301	Oslo
Abdullah Alsabeehg	AP	13	Male	Non	Arabic	1986	NO	Oslo	0301	Oslo
Susann Jørgensen	AP	14	Female	Norsk		1972	NO	Oslo	0301	Oslo
Dag Bayegan-Harlem	AP	15	Male	Norsk		1977	NO	Oslo	0301	Oslo
Roja Darian	AP	16	Female	Non	Spanish	1983	NO	Oslo	0301	Oslo
Frode Kyvåg	AP	17	Male	Norsk		1945	NO	Oslo	0301	Oslo
Mari Morken	AP	18	Female	Norsk		1994	NO	Oslo	0301	Oslo
Per Anders Langerød	AP	19	Male	Norsk		1985	NO	Oslo	0301	Oslo
Gro Balas	AP	20	Female	Norsk		1950	NO	Oslo	0301	Oslo
Jon Reidar Øyan	AP	21	Male	Norsk		1981	NO	Oslo	0301	Oslo
Ida Viksveen Larsen	AP	22	Female	Norsk		1982	NO	Oslo	0301	Oslo
Mobashar Banaras	AP	23	Male	Non	Indian	1976	NO	Oslo	0301	Oslo
Birgit Skarstein	AP	24	Female	Norsk		1989	NO	Oslo	0301	Oslo
Nadeem Butt	AP	25	Male	Non	Arabic	1959	NO	Oslo	0301	Oslo
Prableen Kaur	AP	26	Female	Non	Indian	1993	NO	Oslo	0301	Oslo
Jørn Nygren	AP	27	Male	Norsk		1964	NO	Oslo	0301	Oslo
Bente M. Larsen	AP	28	Female	Norsk		1964	NO	Oslo	0301	Oslo
Nasir Ahmed	AP	29	Male	Non	Arabic	1983	NO	Oslo	0301	Oslo
Katrine Ore	AP	30	Female	Norsk		1963	NO	Oslo	0301	Oslo
Milos Rados	AP	31	Male	Non	East Slavic	1992	NO	Oslo	0301	Oslo
Lena Sæterli	AP	32	Female	Norsk		1971	NO	Oslo	0301	Oslo
Geir Lippestad	AP	33	Male	Norsk		1964	NO	Oslo	0301	Oslo
Anne Nyeggen	AP	34	Female	Norsk		1964	NO	Oslo	0301	Oslo
Jørgen Foss	AP	35	Male	Norsk		1989	NO	Oslo	0301	Oslo
Gro Bratteli Jamholt	AP	36	Female	Norsk		1976	NO	Oslo	0301	Oslo
Erling O. Turtum	AP	37	Male	Norsk		1976	NO	Oslo	0301	Oslo
Zaineb Al-Samarai	AP	38	Female	Non	Arabic	1987	NO	Oslo	0301	Oslo
Elvis Chi Nwosu	AP	39	Male	Non	Nigerian	1965	NO	Oslo	0301	Oslo
Fatima Ali Madar	AP	40	Female	Non	Arabic	1974	NO	Oslo	0301	Oslo
Ulrik Imtiaz Rolfsen	AP	41	Male	Non	Arabic	1972	NO	Oslo	0301	Oslo
Veslemøy Kjendsli	AP	42	Female	Norsk		1947	NO	Oslo	0301	Oslo
Khalid Mahmood	AP	43	Male	Non	Arabic	1959	NO	Oslo	0301	Oslo
Channeh Maram Joof	AP	44	Female	Non	Gambian	1966	NO	Oslo	0301	Oslo
Andreas Olsen	AP	45	Male	Norsk		1974	NO	Oslo	0301	Oslo
Milla Sandborg Mathisen	AP	46	Female	Norsk		1993	NO	Oslo	0301	Oslo
Sigurd Log Røren	AP	47	Male	Norsk		1997	NO	Oslo	0301	Oslo
Agnes Nærland Viljugrein	AP	48	Female	Norsk		1997	NO	Oslo	0301	Oslo
Eivin Sundal	AP	49	Male	Norsk		1961	NO	Oslo	0301	Oslo
Torunn Kanutte Husvik	AP	50	Female	Norsk		1983	NO	Oslo	0301	Oslo
Arshad Mubarak Ali	AP	51	Male	Non	Arabic	1987	NO	Oslo	0301	Oslo
Karina Hellum	AP	52	Female	Norsk		1961	NO	Oslo	0301	Oslo
Henrik Hovland	AP	53	Male	Norsk		1965	NO	Oslo	0301	Oslo
Maika Godal Dam	AP	54	Female	Norsk		1997	NO	Oslo	0301	Oslo
Hans Christian Lillehagen	AP	55	Male	Norsk		1970	NO	Oslo	0301	Oslo
Lene Løken	AP	56	Female	Norsk		1947	NO	Oslo	0301	Oslo
Munir Jaber	AP	57	Male	Non	Arabic	1990	NO	Oslo	0301	Oslo
Line Tresselt	AP	58	Female	Norsk		1983	NO	Oslo	0301	Oslo
Gard Sandaker-Nielsen	AP	59	Male	Norsk		1978	NO	Oslo	0301	Oslo
Marianne Andenæs	AP	60	Female	Norsk		1990	NO	Oslo	0301	Oslo
Bashe Musse	AP	61	Male	Non	Hebrew	1965	NO	Oslo	0301	Oslo
Monica Semb Sætre	AP	62	Female	Norsk		1982	NO	Oslo	0301	Oslo
Pia Gjesme Holm	AP	63	Female	Norsk		1973	NO	Oslo	0301	Oslo
Eskil Pedersen	AP	64	Male	Norsk		1984	NO	Oslo	0301	Oslo
Thorvald Stoltenberg	AP	65	Male	Norsk		1931	NO	Oslo	0301	Oslo
Ellen Simonsen	DEMN	1	Female	Norsk		1967	NO	Oslo	0301	Oslo
Eilert Sannes	DEMN	2	Male	Norsk		1953	NO	Oslo	0301	Oslo
Rolf Pedersen	DEMN	3	Male	Norsk		1935	NO	Oslo	0301	Oslo
Glenn Steffensen	DEMN	4	Male	Norsk		1969	NO	Oslo	0301	Oslo
Anne Mari Borg	DEMN	5	Female	Norsk		1944	NO	Oslo	0301	Oslo
Leif Harald Tesdal	DEMN	6	Male	Norsk		1929	NO	Oslo	0301	Oslo
Lillian Oulie	DEMN	7	Female	Norsk		1939	NO	Oslo	0301	Oslo
Per Erik Johansen	DEMN	8	Male	Norsk		1931	NO	Oslo	0301	Oslo
Cathrine Linn Kristiansen	FI	1	Female	Norsk		1987	YES	Oslo	0301	Oslo
Lene Nilsen	FI	2	Female	Norsk		1973	YES	Oslo	0301	Oslo
Lone Alice Johansen	FI	3	Female	Norsk		1982	YES	Oslo	0301	Oslo
Frithjof Eide Fjeldstad	FI	4	Male	Norsk		1983	YES	Oslo	0301	Oslo
Tina Skotnes	FI	5	Female	Norsk		1982	YES	Oslo	0301	Oslo
Benedicte Alnæs	FI	6	Female	Norsk		1983	NO	Oslo	0301	Oslo
Elisabeth Kristiansen	FI	7	Female	Norsk		1968	NO	Oslo	0301	Oslo
Ximena Azzari Støen	FI	8	Female	Non	Hebrew	1987	NO	Oslo	0301	Oslo
Marte Stine Skinnerlien	FI	9	Female	Norsk		1983	NO	Oslo	0301	Oslo
Line Schou	FI	10	Female	Norsk		1973	NO	Oslo	0301	Oslo
Katarina Storalm	FI	11	Female	Norsk		1984	NO	Oslo	0301	Oslo
Helle Grøndahl	FI	12	Male	Norsk		1978	NO	Oslo	0301	Oslo
Karin Eriksson	FI	13	Female	Norsk		1985	NO	Oslo	0301	Oslo
Magnus Holtfodt	FI	14	Male	Norsk		1978	NO	Oslo	0301	Oslo
Mohamed Ali	FI	15	Male	Non	Arabic	1992	NO	Oslo	0301	Oslo
Tonje Martinsen	FI	16	Female	Norsk		1976	NO	Oslo	0301	Oslo
Robert Haugen	FI	17	Male	Norsk		1989	NO	Oslo	0301	Oslo
Ragna Fjeld	FI	18	Female	Norsk		1983	NO	Oslo	0301	Oslo
Tine Eide	FI	19	Female	Norsk		1991	NO	Oslo	0301	Oslo
Tonje Eide	FI	20	Female	Norsk		1989	NO	Oslo	0301	Oslo
Lina Marcela Alvarez Reyes	FI	21	Female	Non	Spanish	1989	NO	Oslo	0301	Oslo
Hanne Størset	FI	22	Female	Norsk		1972	NO	Oslo	0301	Oslo
Kaja R. Wattne	FI	23	Female	Norsk		1993	NO	Oslo	0301	Oslo
Maria Wattne	FI	24	Female	Norsk		1967	NO	Oslo	0301	Oslo
Monica Aasen	FI	25	Female	Norsk		1987	NO	Oslo	0301	Oslo
Stina Bergsten	FI	26	Female	Norsk		1987	NO	Oslo	0301	Oslo
Tuva Syvertsen	FI	27	Female	Norsk		1983	NO	Oslo	0301	Oslo
Pernille Lindstad	FI	28	Female	Norsk		1984	NO	Oslo	0301	Oslo
Carl I. Hagen	FRP	1	Male	Norsk		1944	YES	Oslo	0301	Oslo
Camilla Wilhelmsen	FRP	2	Female	Norsk		1959	YES	Oslo	0301	Oslo
Tommy Skjervold	FRP	3	Male	Norsk		1982	YES	Oslo	0301	Oslo
Tone Ims Larssen	FRP	4	Female	Norsk		1963	NO	Oslo	0301	Oslo
Øystein Sjøtveit	FRP	5	Male	Norsk		1961	NO	Oslo	0301	Oslo
Toril Charlotte Reynolds	FRP	6	Female	Norsk		1987	NO	Oslo	0301	Oslo
Aina Stenersen	FRP	7	Female	Norsk		1983	NO	Oslo	0301	Oslo
Peter N. Myhre	FRP	8	Male	Norsk		1954	NO	Oslo	0301	Oslo
Siri Ulleberg	FRP	9	Female	Norsk		1989	NO	Oslo	0301	Oslo
Hårek Hansen	FRP	10	Male	Norsk		1968	NO	Oslo	0301	Oslo
Ombir Upadhyay	FRP	11	Male	Non	Indian	1957	NO	Oslo	0301	Oslo
Kent Andersen	FRP	12	Male	Norsk		1962	NO	Oslo	0301	Oslo
Ouarda Jannaouni	FRP	13	Female	Non	Arabic	1990	NO	Oslo	0301	Oslo
Andreas Svoor	FRP	14	Male	Norsk		1991	NO	Oslo	0301	Oslo
Nina Lauritzsen	FRP	15	Female	Norsk		1986	NO	Oslo	0301	Oslo
Jan Arild Linja	FRP	16	Male	Norsk		1964	NO	Oslo	0301	Oslo
Peder Staubo	FRP	17	Male	Norsk		1962	NO	Oslo	0301	Oslo
Cecilie Fosse	FRP	18	Female	Norsk		1968	NO	Oslo	0301	Oslo
Bjørn Gunnar Myhrvold	FRP	19	Male	Norsk		1946	NO	Oslo	0301	Oslo
Lisbet Natland	FRP	20	Female	Norsk		1953	NO	Oslo	0301	Oslo
Cecilie Brein-Karlsen	FRP	21	Female	Norsk		1982	NO	Oslo	0301	Oslo
Inger-Marie Ytterhorn	FRP	22	Female	Norsk		1941	NO	Oslo	0301	Oslo
Erik Schjenken	FRP	23	Male	Norsk		1968	NO	Oslo	0301	Oslo
Lars Petter Solås	FRP	24	Male	Norsk		1985	NO	Oslo	0301	Oslo
Margaret Eckbo	FRP	25	Female	Norsk		1948	NO	Oslo	0301	Oslo
Anne Helen Hjelmerud	FRP	26	Female	Norsk		1948	NO	Oslo	0301	Oslo
Hans Otto Watne	FRP	27	Male	Norsk		1970	NO	Oslo	0301	Oslo
Beate Holland	FRP	28	Female	Norsk		1953	NO	Oslo	0301	Oslo
Lene Therese Linnemørken	FRP	29	Female	Norsk		1982	NO	Oslo	0301	Oslo
Eddie Christopher Thomas	FRP	30	Male	Norsk		1969	NO	Oslo	0301	Oslo
Torstein Hallaråker	FRP	31	Male	Norsk		1938	NO	Oslo	0301	Oslo
Kjell Johansen	FRP	32	Male	Norsk		1967	NO	Oslo	0301	Oslo
Arve Lønnum	FRP	33	Male	Norsk		1961	NO	Oslo	0301	Oslo
Erik Lunde	KRF	1	Male	Norsk		1979	YES	Oslo	0301	Oslo
Oddbjørg Minos	KRF	2	Female	Norsk		1968	YES	Oslo	0301	Oslo
Sigrid Rege Gårdsvoll	KRF	3	Female	Norsk		1987	NO	Oslo	0301	Oslo
Frode Woldsund	KRF	4	Male	Norsk		1964	NO	Oslo	0301	Oslo
Mona Høvset	KRF	5	Female	Norsk		1973	NO	Oslo	0301	Oslo
Gaute Brækken	KRF	6	Male	Norsk		1979	NO	Oslo	0301	Oslo
Emma Løvaas Akyeampong	KRF	7	Female	Norsk		1996	NO	Oslo	0301	Oslo
Gunnar Prestegård	KRF	8	Male	Norsk		1935	NO	Oslo	0301	Oslo
Elisabeth Løland	KRF	9	Female	Norsk		1984	NO	Oslo	0301	Oslo
Espen Andreas Hasle	KRF	10	Male	Norsk		1972	NO	Oslo	0301	Oslo
Karoline Berthelsen	KRF	11	Female	Norsk		1980	NO	Oslo	0301	Oslo
